Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,86
Base Time Seconds,1761803398
Base Time Fractional,.424496640
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.95071686196e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.7497737407684,Volt DC,10,T,2W,F,F,10/30/2025,05:49:58,.424496640
2,2.463452233314e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.6999220848083,Volt DC,10,T,2W,F,F,10/30/2025,05:49:58,.494931020
3,2.533060978749e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.6496859788895,Volt DC,10,T,2W,F,F,10/30/2025,05:49:58,.565338960
4,2.185014693623e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.5997043848038,Volt DC,10,T,2W,F,F,10/30/2025,05:49:58,.635769120
5,2.5330618314e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.5498448610306,Volt DC,10,T,2W,F,F,10/30/2025,05:49:58,.706183500
6,2.533060978749e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.4998627901077,Volt DC,10,T,2W,F,F,10/30/2025,05:49:58,.776595880
7,2.602670861052e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.4496769905090,Volt DC,10,T,2W,F,F,10/30/2025,05:49:58,.847010260
8,2.672279322269e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.3997046947479,Volt DC,10,T,2W,F,F,10/30/2025,05:49:58,.917415260
9,2.463450243795e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.3497956991196,Volt DC,10,T,2W,F,F,10/30/2025,05:49:58,.987833180
10,2.393841214143e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.2999356985092,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.058241140
11,2.463450812229e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.2495979070663,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.128670980
12,2.39384149836e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1997323036194,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.199095980
13,2.6026700084e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1497205495834,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.269512780
14,2.741888920355e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0995638370514,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.339942940
15,2.324233605577e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0496816635132,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.410352360
16,2.672279890703e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.9996985793114,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.480756800
17,2.533060978749e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.9498468041420,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.551166240
18,2.672279890703e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.8995060920715,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.621585580
19,2.672279038052e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.8496568799019,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.691978280
20,2.672279038052e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.7996696829796,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.762390480
21,2.602668871532e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.7497957348824,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.832811060
22,2.53305984188e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.6996359229088,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.903228380
23,2.533060978749e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.6496075987816,Volt DC,10,T,2W,F,F,10/30/2025,05:49:59,.973632240
24,2.324232468709e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.5997708439827,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.044041400
25,2.811497097355e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.5497893095016,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.114446680
26,2.533060694532e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4994609057903,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.184865840
27,2.811497097355e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4496188163757,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.255285220
28,2.463450243795e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3996551334858,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.325689060
29,2.393841214143e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3497895598412,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.396093980
30,2.533060410315e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2994778752327,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.466510540
31,2.741887499269e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2496178299189,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.536920880
32,2.463450812229e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1997371017933,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.607326880
33,2.602670576834e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1497306823730,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.677738160
34,2.672279322269e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0995556563139,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.748140500
35,2.741888067703e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0495781861246,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.818551120
36,2.881107832309e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003260217491,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.888985960
37,2.672279322269e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0498829707503,Volt DC,10,T,2W,F,F,10/30/2025,05:50:00,.959707160
38,2.672279038052e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0998736992478,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.030119840
39,2.672278753835e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.1497014015913,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.100528780
40,2.602668587315e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.2000333219767,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.170925200
41,2.533059557663e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.2499300837517,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.241348080
42,2.881105842789e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.2997882366180,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.311763180
43,2.533059557663e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.3498010337353,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.382174700
44,2.74188835192e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.3999715149403,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.452590740
45,2.533059557663e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.4499523937702,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.522999840
46,2.463450528012e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.4998920857906,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.593401740
47,2.741886930835e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.5497762560844,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.663814600
48,2.533059273446e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.6000971794128,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.734227980
49,2.741886646618e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.6499538421631,Volt DC,10,T,2W,F,F,10/30/2025,05:50:01,.804643920
