Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,41
Base Time Seconds,1761806878
Base Time Fractional,.835795140
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-6.914091500221e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000003020180,Amp DC,.1,T,4W,F,F,10/30/2025,06:47:58,.835795140
2,2.031505573541e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0006298290682,Amp DC,.1,T,4W,F,F,10/30/2025,06:47:58,.906249680
3,-2.639466401888e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0019990564324,Amp DC,.1,T,4W,F,F,10/30/2025,06:47:58,.976665780
4,-3.91337016481e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0029992931522,Amp DC,.1,T,4W,F,F,10/30/2025,06:47:59,.047093680
5,-5.994097591611e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0039990963414,Amp DC,.1,T,4W,F,F,10/30/2025,06:47:59,.117514820
6,-7.367078069365e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0050002662465,Amp DC,.1,T,4W,F,F,10/30/2025,06:47:59,.187944520
7,-5.937476089457e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0059999390505,Amp DC,.1,T,4W,F,F,10/30/2025,06:47:59,.258370080
8,-6.30550130154e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0070000137202,Amp DC,.1,T,4W,F,F,10/30/2025,06:47:59,.328789160
9,-4.663572326535e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0079994862899,Amp DC,.1,T,4W,F,F,10/30/2025,06:47:59,.399220140
10,-4.352183168521e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0089992210269,Amp DC,.1,T,4W,F,F,10/30/2025,06:47:59,.469658520
11,-4.422963684192e-06,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0100010149181,Amp DC,.1,T,4W,F,F,10/30/2025,06:47:59,.540099540
