Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1761803007
Base Time Fractional,.570726200
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.53310190601e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.9997408390045,Volt DC,10,T,2W,F,F,10/30/2025,05:43:27,.570726200
2,2.463491171056e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.9498398303986,Volt DC,10,T,2W,F,F,10/30/2025,05:43:27,.641186240
3,2.324271122234e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.8999515771866,Volt DC,10,T,2W,F,F,10/30/2025,05:43:27,.711616920
4,2.324271122234e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.8495851755142,Volt DC,10,T,2W,F,F,10/30/2025,05:43:27,.782044300
5,2.533100769142e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.7997213602066,Volt DC,10,T,2W,F,F,10/30/2025,05:43:27,.852461160
6,2.463491171056e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.7497519254684,Volt DC,10,T,2W,F,F,10/30/2025,05:43:27,.922890220
7,2.53310190601e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.6998983621597,Volt DC,10,T,2W,F,F,10/30/2025,05:43:27,.993309300
8,2.18505022076e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.6496723890305,Volt DC,10,T,2W,F,F,10/30/2025,05:43:28,.063723660
9,2.324269985365e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.5996814966202,Volt DC,10,T,2W,F,F,10/30/2025,05:43:28,.134157500
10,2.463491739491e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.5498245954514,Volt DC,10,T,2W,F,F,10/30/2025,05:43:28,.204583920
11,2.324271122234e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.4998421669006,Volt DC,10,T,2W,F,F,10/30/2025,05:43:28,.275013860
12,2.393881288754e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.4496525526047,Volt DC,10,T,2W,F,F,10/30/2025,05:43:28,.345432200
13,2.254660671497e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.3996797800064,Volt DC,10,T,2W,F,F,10/30/2025,05:43:28,.415848840
14,2.463491171056e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.3497681617737,Volt DC,10,T,2W,F,F,10/30/2025,05:43:28,.486263700
15,2.463490886839e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.2999087572098,Volt DC,10,T,2W,F,F,10/30/2025,05:43:28,.556671480
16,2.533100769142e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.2495906352997,Volt DC,10,T,2W,F,F,10/30/2025,05:43:28,.627103640
17,2.393881004537e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1997079849243,Volt DC,10,T,2W,F,F,10/30/2025,05:43:28,.697521680
18,2.533100769142e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1497007608414,Volt DC,10,T,2W,F,F,10/30/2025,05:43:28,.767939320
