Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,241
Base Time Seconds,1761804453
Base Time Fractional,.398581860
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.735941054903e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.9999074935913,Volt DC,10,T,2W,F,F,10/30/2025,06:07:33,.398581860
2,4.412393934672e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.9499893188477,Volt DC,10,T,2W,F,F,10/30/2025,06:07:33,.469023020
3,3.855533066144e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.8997917175293,Volt DC,10,T,2W,F,F,10/30/2025,06:07:33,.539457600
4,3.994749420144e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.8498191833496,Volt DC,10,T,2W,F,F,10/30/2025,06:07:33,.609875720
5,3.925141243144e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.7999219894409,Volt DC,10,T,2W,F,F,10/30/2025,06:07:33,.680296840
6,3.646711661531e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.7499494552612,Volt DC,10,T,2W,F,F,10/30/2025,06:07:33,.750723400
7,3.57710263188e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.6998224258423,Volt DC,10,T,2W,F,F,10/30/2025,06:07:33,.821118640
8,3.437887698965e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.6499080657959,Volt DC,10,T,2W,F,F,10/30/2025,06:07:33,.891537720
9,3.785927447097e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.5999202728271,Volt DC,10,T,2W,F,F,10/30/2025,06:07:33,.961964620
10,3.507496728616e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.5500898361206,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.032394720
11,3.229065157484e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.4997177124023,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.102807560
12,3.785927447097e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.4499044418335,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.173249260
13,3.577103768748e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.3999938964844,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.243661540
14,3.507495875965e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.3499975204468,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.314091280
15,3.437887698965e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.2998285293579,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.384513540
16,3.646711093097e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.2498292922974,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.454932800
17,3.646711661531e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.2000112533569,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.525362900
18,3.437887130531e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.1499872207642,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.595794760
19,3.507496728616e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.0997619628906,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.666207320
20,3.437888835833e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,9.0499143600464,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.736637320
21,3.577103768748e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.9999465942383,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.807059520
22,3.368279806182e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.9500608444214,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.877476660
23,3.507495307531e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.8997573852539,Volt DC,10,T,2W,F,F,10/30/2025,06:07:34,.947882600
24,3.368280658833e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.8499507904053,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.018305320
25,3.507495307531e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.8000106811523,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.088711760
26,3.298673618701e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.7500400543213,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.159146060
27,3.437887983182e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.6998462677002,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.229586940
28,3.298674187135e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.6497755050659,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.300004780
29,3.43788912005e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.5999269485474,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.370427200
30,3.577105189834e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.5500879287720,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.440856600
31,3.368281227267e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.4997425079346,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.511287420
32,3.020241479135e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.4498538970947,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.581694860
33,3.298674187135e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.3999004364014,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.652120240
34,3.159457833135e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.3500175476074,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.722539300
35,3.089850793003e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.2997245788574,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.792950240
36,3.159458117352e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.2498359680176,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.863373120
37,3.229065157484e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.1999540328979,Volt DC,10,T,2W,F,F,10/30/2025,06:07:35,.933783520
38,3.089851361437e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.1499824523926,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.004209620
39,3.368281795701e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.1001243591309,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.074649100
40,3.229066294352e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,8.0498275756836,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.145080980
41,2.881027967305e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.9999618530273,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.215509540
42,3.159458401569e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.9500794410706,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.285938800
43,3.159458117352e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.9000983238220,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.356349040
44,3.089851361437e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.8498830795288,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.426766940
45,3.229067147004e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.7999000549316,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.497186740
46,3.020242047569e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.7500400543213,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.567593980
47,3.159456127833e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.7000479698181,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.638002400
48,3.159456980484e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.6498599052429,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.708407200
49,3.159457833135e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.6000142097473,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.778806480
50,3.020244321306e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.5500183105469,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.849216800
51,3.507497865485e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.5001692771912,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.919638560
52,3.229067431221e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.4498295783997,Volt DC,10,T,2W,F,F,10/30/2025,06:07:36,.990056260
53,3.368282648353e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.3999800682068,Volt DC,10,T,2W,F,F,10/30/2025,06:07:37,.060482960
54,3.089849656135e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,7.3500580787659,Volt DC,10,T,2W,F,F,10/30/2025,06:07:37,.130885440
