Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1762416011
Base Time Fractional,.578499540
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-3.511715476634e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000442311575,Volt DC,10,T,2W,F,F,11/06/2025,08:00:11,.578499540
2,-5.592220986728e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0498509779572,Volt DC,10,T,2W,F,F,11/06/2025,08:00:11,.648931280
3,-5.592220986728e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0998318418860,Volt DC,10,T,2W,F,F,11/06/2025,08:00:11,.719348820
4,-7.672751962673e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1496773362160,Volt DC,10,T,2W,F,F,11/06/2025,08:00:11,.789785060
5,-6.285736162681e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.1999952346087,Volt DC,10,T,2W,F,F,11/06/2025,08:00:11,.860202580
6,-9.05978231458e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2498945593834,Volt DC,10,T,2W,F,F,11/06/2025,08:00:11,.930609020
7,-3.511690010782e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.2997429072857,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.001029740
8,-6.285747076618e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3497553765774,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.071457820
9,-4.898716724711e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.3999256193638,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.141893200
10,-5.592228262685e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.4499050676823,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.212311260
11,-1.431173586752e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.4998431503773,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.282736660
12,-5.592246452579e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.5497325658798,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.353150820
13,-7.672802894376e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.6000432372093,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.423556860
14,-3.511715476634e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.6499056816101,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.493970720
15,-4.205216100672e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.6999086737633,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.564385160
16,-5.592279194389e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.7497549653053,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.634817740
17,-4.898742190562e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.7999875545502,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.705226060
18,-4.20522337663e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.8499686121941,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.775643100
19,-2.818196662702e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.8998183608055,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.846060840
20,-6.285747076618e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.9498115181923,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.916475560
21,-3.511722752592e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.9999939203262,Volt DC,10,T,2W,F,F,11/06/2025,08:00:12,.986880480
22,-2.818196662702e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.0499929189682,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.057297960
23,-4.205216100672e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.0998660326004,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.127720480
24,-8.366270776605e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.1497170925140,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.198148960
25,-4.20522337663e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.2000596523285,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.268558140
26,-2.124677848769e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.2499386072159,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.338967400
27,-3.511711838655e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.2999179363251,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.409370400
28,-2.818196662702e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.3497924804688,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.479798780
29,-2.818229404511e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.4000197649002,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.550197080
30,-4.205241566524e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.4499882459641,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.620608000
31,-2.818222128553e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.4998669624329,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.691035240
32,-2.818222128553e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.5498354434967,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.761444640
33,-4.898742190562e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.6000138521194,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.831868740
34,-4.205230652587e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.6499258279800,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.902281460
35,-4.205248842482e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.6999225616455,Volt DC,10,T,2W,F,F,11/06/2025,08:00:13,.972708800
36,-1.431191776646e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.7497618198395,Volt DC,10,T,2W,F,F,11/06/2025,08:00:14,.043110900
