Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,101
Base Time Seconds,1762417382
Base Time Fractional,.836754520
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.601641633897e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.0001999119413,Volt DC,10,T,2W,F,F,11/06/2025,08:23:02,.836754520
2,-0.005584456026554,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0498424544930,Volt DC,10,T,2W,F,F,11/06/2025,08:23:03,.188120340
3,-0.01119184773415,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0998179242015,Volt DC,10,T,2W,F,F,11/06/2025,08:23:03,.465957140
4,-0.01678236946464,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1499921530485,Volt DC,10,T,2W,F,F,11/06/2025,08:23:03,.536392520
5,-0.02231836505234,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.1999081075191,Volt DC,10,T,2W,F,F,11/06/2025,08:23:03,.606790800
6,-0.02781961299479,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.2497476935387,Volt DC,10,T,2W,F,F,11/06/2025,08:23:03,.677185260
7,-0.03334243223071,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3000053763390,Volt DC,10,T,2W,F,F,11/06/2025,08:23:03,.747579380
8,-0.03878941014409,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3498354852200,Volt DC,10,T,2W,F,F,11/06/2025,08:23:03,.817953680
9,-0.04420785978436,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.3996738195419,Volt DC,10,T,2W,F,F,11/06/2025,08:23:03,.888347980
10,-0.04964184388518,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4499316811562,Volt DC,10,T,2W,F,F,11/06/2025,08:23:03,.958737380
11,-0.05499743297696,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.4997365772724,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.029143420
12,-0.06037087738514,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.5500349998474,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.099531540
13,-0.06566219031811,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.5998789668083,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.169932860
14,-0.07092215120792,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.6497660875320,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.240322800
15,-0.07618344575167,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.6999869346619,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.310731380
16,-0.08136446028948,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.7498251795769,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.381116960
17,-0.08651405572891,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.7997370958328,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.451522360
18,-0.09164670854807,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.8498927354813,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.521913200
19,-0.09671445935965,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.8998177051544,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.592282880
20,-0.1017325371504,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.9496940374374,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.662676940
21,-0.106579169631,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0000094175339,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.833605280
22,-0.1115240976214,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.0498940944672,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.904009880
23,-0.1164373904467,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1000528335571,Volt DC,10,T,2W,F,F,11/06/2025,08:23:04,.974390080
24,-0.1212750300765,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1499836444855,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.044781580
25,-0.1260510236025,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.1998076438904,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.115197680
26,-0.1308060884476,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.2500045299530,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.185594500
27,-0.1354819536209,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.2999732494354,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.255975680
28,-0.1400883942842,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.3498231172562,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.326359480
29,-0.1446774154902,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.4000393152237,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.396771940
30,-0.1491690576077,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.4498943090439,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.467150040
31,-0.1536409854889,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.5001633167267,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.537548060
32,-0.1580136120319,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.5500037670135,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.607931920
33,-0.1623300462961,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.5998858213425,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.678325680
34,-0.1666115671396,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.6501492261887,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.748702400
35,-0.1707893311977,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.6999564170837,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.819085860
36,-0.1749146282673,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.7498601675034,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.889488280
37,-0.1789943575859,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.8000483512878,Volt DC,10,T,2W,F,F,11/06/2025,08:23:05,.959866880
38,-0.1829795092344,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.8498821258545,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.030240760
39,-0.1869386732578,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.9001792669296,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.100624240
40,-0.1907963603735,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.9500631093979,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.171008900
41,-0.194578319788,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.9999591112137,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.241377420
42,-0.1983204782009,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.0501368045807,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.311781660
43,-0.2019687145948,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1000568866730,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.382168180
44,-0.2055405080318,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.1499094963074,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.452564740
45,-0.2090675532818,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.2000949382782,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.522957340
46,-0.2125092744827,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.2500236034393,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.593340660
47,-0.2158912420273,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.3001956939697,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.663723240
48,-0.219190582633,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.3501167297363,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.734090520
49,-0.2224087566137,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.3999583721161,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.804478160
50,-0.2255861461163,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.4501302242279,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.874852600
51,-0.2286691218615,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.5000483989716,Volt DC,10,T,2W,F,F,11/06/2025,08:23:06,.945237160
52,-0.2316777855158,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.5498905181885,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.015648120
53,-0.2346449792385,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.6000852584839,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.086035680
54,-0.2375150173903,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.6499493122101,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.156419020
55,-0.240319147706,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.6998722553253,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.226806360
56,-0.243075683713,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.7500569820404,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.297202480
57,-0.2457403540611,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.7999110221863,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.367585120
58,-0.2483700215816,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.8501710891724,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.437955380
59,-0.2509009540081,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.8999929428101,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.508336680
60,-0.2533729970455,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-2.9499208927155,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.578737600
61,-0.255796790123,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.0001063346863,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.649121760
62,-0.2581357657909,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.0499820709229,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.719510920
63,-0.2604159414768,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.0998747348785,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.789903880
64,-0.2626462578773,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.1500535011292,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.860294740
65,-0.2648038864136,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.1999635696411,Volt DC,10,T,2W,F,F,11/06/2025,08:23:07,.930664520
66,-0.2669095396996,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.2501244544983,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.001041440
67,-0.2689500153065,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.3000974655151,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.071449040
68,-0.270911604166,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.3499670028687,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.141830100
69,-0.2728441357613,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.4001502990723,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.212208760
70,-0.2746935486794,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.4500560760498,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.282606980
71,-0.2764924168587,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.4998922348022,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.353011620
72,-0.278251439333,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5501482486725,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.423397180
73,-0.2799368798733,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.5999808311462,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.493778820
74,-0.2815864384174,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.6501867771149,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.564166280
75,-0.2831641435623,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.7001204490662,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.634537620
76,-0.2846848070621,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.7499680519104,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.704917580
77,-0.2861796319485,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.8001706600189,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.775312780
78,-0.2875995635986,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.8500103950500,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.845717640
79,-0.2889788746834,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.8999376296997,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.916093820
80,-0.2903182506561,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.9501011371613,Volt DC,10,T,2W,F,F,11/06/2025,08:23:08,.986486520
81,-0.2915987372398,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-3.9999592304230,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.056858360
82,-0.2928526699543,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.0502419471741,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.127249220
83,-0.2940414845943,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.1000533103943,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.197660320
84,-0.2951889336109,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.1499652862549,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.268046300
85,-0.2963194549084,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.2001504898071,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.338431880
86,-0.2973835766315,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.2500004768372,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.408831960
87,-0.2984127104282,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.2999291419983,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.479193740
88,-0.2994226813316,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.3501253128052,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.549590440
89,-0.3003718852997,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.4000453948975,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.619972100
90,-0.3013078272343,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.4502062797546,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.690356660
91,-0.302182674408,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.5001144409180,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.760734440
92,-0.3030324578285,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.5499782562256,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.831126280
93,-0.3038513958454,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.6001448631287,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.901525640
94,-0.3046386539936,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.6501049995422,Volt DC,10,T,2W,F,F,11/06/2025,08:23:09,.971900300
95,-0.3053756654263,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.6999330520630,Volt DC,10,T,2W,F,F,11/06/2025,08:23:10,.042264600
96,-0.3061174154282,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.7502017021179,Volt DC,10,T,2W,F,F,11/06/2025,08:23:10,.112646120
97,-0.3067954778671,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.8000607490540,Volt DC,10,T,2W,F,F,11/06/2025,08:23:10,.183051960
98,-0.307454764843,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.8498907089233,Volt DC,10,T,2W,F,F,11/06/2025,08:23:10,.253448660
99,-0.3080922961235,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.9001398086548,Volt DC,10,T,2W,F,F,11/06/2025,08:23:10,.323835440
100,-0.3086946904659,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-4.9499940872192,Volt DC,10,T,2W,F,F,11/06/2025,08:23:10,.394224240
101,-0.3092752695084,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-5.0002355575562,Volt DC,10,T,2W,F,F,11/06/2025,08:23:10,.464630020
